STORY,en,pt,es,it,fr,de,ja,HIRAGANA,ROMAJI
16,6. SHE LOOKS AT HER KNEE.,6. ELA OLHA PARA O JOELHO.,6. ELLA MIRA SU RODILLA.,6. LEI GUARDA IL GINOCCHIO.,6. ELLE REGARDE SON GENOU.,6. SIE SIEHT AUF IHR KNIE.,6. 彼女は膝を見る。,6. かのじょはひざをみる。,6. KANOJO WA HIZA WO MIRU.
16,7. HER KNEE BLEEDS.,7. O JOELHO DELA SANGRA.,7. SU RODILLA SANGRA.,7. IL SUO GINOCCHIO SANGUA.,7. SON GENOU SAIGNE.,7. IHR KNIE BLUTET.,7. 彼女の膝が血を流す。,7. かのじょのひざがちをながす。,7. KANOJO NO HIZA GA CHI WO NAGASU.
16,8. SHE TAKES A TISSUE OUT OF HER POCKET.,8. ELA PEGA UM LENÇO DO BOLSO.,8. ELLA SACA UN PAÑUELO DE SU BOLSILLO.,8. LEI PRENDE UN FAZZOLETTO DALLA TASCA.,8. ELLE SORT UN MOUCHOIR DE SA POCHE.,8. SIE NIMMT EIN TASCHENTUCH AUS DER TASCHE.,8. 彼女はポケットからティッシュを出す。,8. かのじょはポケットからティッシュをだす。,8. KANOJO WA POKETTO KARA TISSYU WO DASU.
16,9. SHE PUTS THE TISSUE ON HER KNEE.,9. ELA COLOCA O LENÇO NO JOELHO.,9. ELLA PONE EL PAÑUELO EN SU RODILLA.,9. LEI METTE IL FAZZOLETTO SUL GINOCCHIO.,9. ELLE MET LE MOUCHOIR SUR SON GENOU.,9. SIE LEGT DAS TASCHENTUCH AUF IHR KNIE.,9. 彼女は膝にティッシュを置く。,9. かのじょはひざにティッシュをおく。,9. KANOJO WA HIZA NI TISSYU WO OKU.
16,10. SHE RUNS TO THE DRUGSTORE.,10. ELA CORRE PARA A FARMÁCIA.,10. ELLA CORRE A LA FARMACIA.,10. LEI CORRE ALLA FARMACIA.,10. ELLE COUR À LA PHARMACIE.,10. SIE RENNT ZUR APOTHEKE.,10. 彼女は薬局へ走る。,10. かのじょはやっきょくへはしる。,10. KANOJO WA YAKKYOKU HE HASHIRU.
16,11. SHE BUYS MEDICINE.,11. ELA COMPRA REMÉDIO.,11. ELLA COMPRA MEDICINA.,11. LEI COMPRA MEDICINA.,11. ELLE ACHÈTE DES MÉDICAMENTS.,11. SIE KAUFT MEDIKAMENTE.,11. 彼女は薬を買う。,11. かのじょはくすりをかう。,11. KANOJO WA KUSURI WO KAU.
16,12. SHE GOES BACK HOME.,12. ELA VOLTA PARA CASA.,12. ELLA VUELVE A CASA.,12. LEI TORNA A CASA.,12. ELLE RENTRE CHEZ ELLE.,12. SIE GEHT NACH HAUSE ZURÜCK.,12. 彼女は家に戻る。,12. かのじょはいえにもどる。,12. KANOJO WA IE NI MODORU.
16,13. SHE RINSES HER KNEE AND LEG.,13. ELA ENXÁGUA O JOELHO E A PERNA.,13. ELLA ENJUAGA SU RODILLA Y PIERNA.,13. LEI RISCIACQUA IL GINOCCHIO E LA GAMBA.,13. ELLE RINCE SON GENOU ET SA JAMBE.,13. SIE SPÜLT IHR KNIE UND BEIN.,13. 彼女は膝と脚を洗う。,13. かのじょはひざとあしをあらう。,13. KANOJO WA HIZA TO ASHI WO ARAU.
16,14. SHE PUTS MEDICINE ON HER KNEE AND CRIES.,14. ELA PASSA REMÉDIO NO JOELHO E CHORA.,14. ELLA PONE MEDICINA EN SU RODILLA Y LLORA.,14. LEI METTE MEDICINA SUL GINOCCHIO E PIANGE.,14. ELLE MET DU MÉDICAMENT SUR SON GENOU ET PLEURE.,14. SIE TRÄGT MEDIKAMENT AUF IHR KNIE AUF UND WEINT.,14. 彼女は膝に薬を塗って泣く。,14. かのじょはひざにくすりをぬってなく。,14. KANOJO WA HIZA NI KUSURI WO NUTTE NAKU.
16,15. SHE GETS AN ADHESIVE BANDAGE.,15. ELA PEGA UM CURATIVO.,15. ELLA TOMA UNA TIRA ADHESIVA.,15. LEI PRENDE UN CEROTTO.,15. ELLE PREND UN PANSEMENT.,15. SIE NIMMT EIN HEFTPFLASTER.,15. 彼女は絆創膏を取る。,15. かのじょはばんそうこうをとる。,15. KANOJO WA BANSŌKŌ WO TORU.
16,16. SHE PEELS OFF THE WRAPPER.,16. ELA DESENROLA A EMBALAGEM.,16. ELLA PELE LA ENVOLTURA.,16. LEI SBUCCIA LA CONFEZIONE.,16. ELLE DÉCOLLE L’EMBALLAGE.,16. SIE ZIEHT DIE VERPACKUNG AB.,16. 彼女は包装を剥がす。,16. かのじょはほうそうをはがす。,16. KANOJO WA HŌSŌ WO HAGASU.
16,17. SHE PUTS THE BAND AID ON HER KNEE.,17. ELA COLOCA O CURATIVO NO JOELHO.,17. ELLA PONE LA TIRA ADHESIVA EN SU RODILLA.,17. LEI METTE IL CEROTTO SUL GINOCCHIO.,17. ELLE MET LE PANSEMENT SUR SON GENOU.,17. SIE KLEBT DAS HEFTPFLASTER AUF IHR KNIE.,17. 彼女は膝に絆創膏を貼る。,17. かのじょはひざにばんそうこうをはる。,17. KANOJO WA HIZA NI BANSŌKŌ WO HARU.
16,18. SHE THROWS OUT THE WRAPPER.,18. ELA JOGA FORA A EMBALAGEM.,18. ELLA TIRA LA ENVOLTURA.,18. LEI BUTTA VIA LA CONFEZIONE.,18. ELLE JETTE L’EMBALLAGE.,18. SIE WIRFT DIE VERPACKUNG WEG.,18. 彼女は包装を捨てる。,18. かのじょはほうそうをすてる。,18. KANOJO WA HŌSŌ WO SUTERU.
17,1. THE DISHES ARE DIRTY.,1. A LOUÇA ESTÁ SUJA.,1. LOS PLATOS ESTÁN SUCIOS.,1. I PIATTI SONO SPORCHI.,1. LA VAISSELLE EST SALE.,1. DAS GESCHIRR IST SCHMUTZIG.,1. 皿は汚れている。,1. さらはよごれている。,1. SARA WA YOGORETE IRU.
17,2. SHE PUTS A PLUG IN THE SINK.,2. ELA COLOCA UM TAMPA NA PIA.,2. ELLA PONE UN TAPÓN EN EL FREGADERO.,2. LEI METTE UN TAPPO NEL LAVANDINO.,2. ELLE MET UN BOUCHON DANS L’ÉVIER.,2. SIE SETZT EINEN STOPFEN IN DAS SPÜLBECKEN.,2. 彼女は流しに栓をする。,2. かのじょはながしにせんをする。,2. KANOJO WA NAGASHI NI SEN WO SURU.
17,3. SHE FILLS THE SINK WITH WATER.,3. ELA ENCHE A PIA COM ÁGUA.,3. ELLA LLENA EL FREGADERO CON AGUA.,3. LEI RIEMPIE IL LAVANDINO D’ACQUA.,3. ELLE REMPLIT L’ÉVIER D’EAU.,3. SIE FÜLLT DAS SPÜLBECKEN MIT WASSER.,3. 彼女は流しに水を入れる。,3. かのじょはながしにみずをいれる。,3. KANOJO WA NAGASHI NI MIZU WO IRERU.
17,4. SHE PUTS SOAP IN THE WATER.,4. ELA COLOCA SABÃO NA ÁGUA.,4. ELLA PONE JABÓN EN EL AGUA.,4. LEI METTE SAPONE NELL’ACQUA.,4. ELLE MET DU SAVON DANS L’EAU.,4. SIE GIBT SEIFE INS WASSER.,4. 彼女は水に石鹸を入れる。,4. かのじょはみずにせっけんをいれる。,4. KANOJO WA MIZU NI SEKKEN WO IRERU.
17,5. SHE RINSES THE DISHES.,5. ELA ENXÁGUA A LOUÇA.,5. ELLA ENJUAGA LOS PLATOS.,5. LEI RISCIACQUA I PIATTI.,5. ELLE RINCE LA VAISSELLE.,5. SIE SPÜLT DAS GESCHIRR AB.,5. 彼女は皿をすすぐ。,5. かのじょはさらをすすぐ。,5. KANOJO WA SARA WO SUSUGU.
17,6. THE WATER IS HOT.,6. A ÁGUA ESTÁ QUENTE.,6. EL AGUA ESTÁ CALIENTE.,6. L’ACQUA È CALDA.,6. L’EAU EST CHAUDE.,6. DAS WASSER IST HEISS.,6. 水は熱い。,6. みずはあつい。,6. MIZU WA ATSUI.
17,7. SHE PUTS THE DISHES IN THE WATER.,7. ELA COLOCA A LOUÇA NA ÁGUA.,7. ELLA PONE LOS PLATOS EN EL AGUA.,7. LEI METTE I PIATTI NELL’ACQUA.,7. ELLE MET LA VAISSELLE DANS L’EAU.,7. SIE LEGT DAS GESCHIRR INS WASSER.,7. 彼女は皿を水に入れる。,7. かのじょはさらをみずにいれる。,7. KANOJO WA SARA WO MIZU NI IRERU.
17,8. SHE SCRUBS THE DISHES WITH A SPONGE.,8. ELA ESCREVE A LOUÇA COM UMA ESPONJA.,8. ELLA FRIEGA LOS PLATOS CON UNA ESPONJA.,8. LEI STROFINA I PIATTI CON UNA SPUGNA.,8. ELLE FROTTE LA VAISSELLE AVEC UNE ÉPONGE.,8. SIE SCHRUBBT DAS GESCHIRR MIT EINEM SCHWAMM.,8. 彼女はスポンジで皿をこする。,8. かのじょはスポンジでさらをこする。,8. KANOJO WA SUPONJI DE SARA WO KOSURU.
17,9. SHE RINSES THE DISHES.,9. ELA ENXÁGUA A LOUÇA.,9. ELLA ENJUAGA LOS PLATOS.,9. LEI RISCIACQUA I PIATTI.,9. ELLE RINCE LA VAISSELLE.,9. SIE SPÜLT DAS GESCHIRR AB.,9. 彼女は皿をすすぐ。,9. かのじょはさらをすすぐ。,9. KANOJO WA SARA WO SUSUGU.
17,10. THE DISHES ARE CLEAN.,10. A LOUÇA ESTÁ LIMPA.,10. LOS PLATOS ESTÁN LIMPIOS.,10. I PIATTI SONO PULITI.,10. LA VAISSELLE EST PROPRE.,10. DAS GESCHIRR IST SAUBER.,10. 皿はきれい。,10. さらはきれい。,10. SARA WA KIREI.
17,11. SHE PUTS THE DISHES IN THE DISH RACK.,11. ELA COLOCA A LOUÇA NO ESCORREDOR.,11. ELLA PONE LOS PLATOS EN EL ESCURREPLATOS.,11. LEI METTE I PIATTI SULL’ASCIUGAPIATTI.,11. ELLE MET LA VAISSELLE DANS L’ÉGOUTTOIR.,11. SIE LEGT DAS GESCHIRR IN DAS ABTROCKNENDE GESTELL.,11. 彼女は皿を水切りかごに置く。,11. かのじょはさらをみずきりかごにおく。,11. KANOJO WA SARA WO MIZUKIRI KAGO NI OKU.
17,12. SHE TAKES OUT THE PLUG.,12. ELA TIRA O TAMPA.,12. ELLA QUITA EL TAPÓN.,12. LEI TOGLIE IL TAPPO.,12. ELLE ENLÈVE LE BOUCHON.,12. SIE NIMMT DEN STOPFEN AB.,12. 彼女は栓を抜く。,12. かのじょはせんをぬく。,12. KANOJO WA SEN WO NUKU.
17,13. SHE PUTS BLEACH IN THE SINK.,13. ELA COLOCA CLORO NA PIA.,13. ELLA PONE LEJÍA EN EL FREGADERO.,13. LEI METTE CANDEGGINA NEL LAVANDINO.,13. ELLE MET DE L’EAU DE JAVEL DANS L’ÉVIER.,13. SIE GIBT BLEICHPULVER INS SPÜLBECKEN.,13. 彼女は流しに漂白剤を入れる。,13. かのじょはながしにひょうはくざいをいれる。,13. KANOJO WA NAGASHI NI HYŌHAKUZAI WO IRERU.
17,14. SHE SCRUBS THE SINK WITH A SPONGE.,14. ELA ESCREVE A PIA COM UMA ESPONJA.,14. ELLA FRIEGA EL FREGADERO CON UNA ESPONJA.,14. LEI STROFINA IL LAVANDINO CON UNA SPUGNA.,14. ELLE FROTTE L’ÉVIER AVEC UNE ÉPONGE.,14. SIE SCHRUBBT DAS SPÜLBECKEN MIT EINEM SCHWAMM.,14. 彼女はスポンジで流しをこする。,14. かのじょはスポンジでながしをこする。,14. KANOJO WA SUPONJI DE NAGASHI WO KOSURU.
17,15. SHE RINSES THE SINK.,15. ELA ENXÁGUA A PIA.,15. ELLA ENJUAGA EL FREGADERO.,15. LEI RISCIACQUA IL LAVANDINO.,15. ELLE RINCE L’ÉVIER.,15. SIE SPÜLT DAS SPÜLBECKEN AB.,15. 彼女は流しをすすぐ。,15. かのじょはながしをすすぐ。,15. KANOJO WA NAGASHI WO SUSUGU.
18,1. HIROKI IS SICK.,1. HIROKI ESTÁ DOENTE.,1. HIROKI ESTÁ ENFERMO.,1. HIROKI È MALATO.,1. HIROKI EST MALADE.,1. HIROKI IST KRANK.,1. ヒロキは病気です。,1. ヒロキはびょうきです。,1. HIROKI WA BYŌKI DESU.
18,2. HE HAS A HEADACHE.,2. ELE TEM DOR DE CABEÇA.,2. TIENE DOLOR DE CABEZA.,2. HA MAL DI TESTA.,2. IL A MAL À LA TÊTE.,2. ER HAT KOPFSCHMERZEN.,2. 彼は頭痛がする。,2. かれはずつうがする。,2. KARE WA ZUTSŪ GA SURU.
18,3. HE SNEEZES.,3. ELE ESPIRRA.,3. ESTORNUDA.,3. STARNUTA.,3. IL ÉTERNUE.,3. ER NIESST.,3. 彼はくしゃみをする。,3. かれはくしゃみをする。,3. KARE WA KUSHAMI WO SURU.
18,4. HE TAKES OUT A TISSUE.,4. ELE PEGA UM LENÇO.,4. SACA UN PAÑUELO.,4. PRENDE UN FAZZOLETTO.,4. IL PREND UN MOUCHOIR.,4. ER NIMMT EIN TASCHENTUCH.,4. 彼はティッシュを取り出す。,4. かれはティッシュをとりだす。,4. KARE WA TISSYU WO TORIDASU.
18,5. HE BLOWS HIS NOSE.,5. ELE ASSOA O NARIZ.,5. SE SUA LA NARIZ.,5. SI SOFFIA IL NASO.,5. IL SE MOUCHE.,5. ER SCHNÄUZT SICH DIE NASE.,5. 彼は鼻をかむ。,5. かれははなをかむ。,5. KARE WA HANA WO KAMU.
18,6. HE RUBS HIS EYES.,6. ELE ESFREGA OS OLHOS.,6. SE FROTA LOS OJOS.,6. SI STROFINA GLI OCCHI.,6. IL SE FROTTE LES YEUX.,6. ER REIBT SICH DIE AUGEN.,6. 彼は目をこする。,6. かれはめをこする。,6. KARE WA ME WO KOSURU.
18,7. HE COUGHS.,7. ELE TOSSE.,7. TOSSE.,7. TOSSE.,7. IL TOUSSE.,7. ER HUSTET.,7. 彼は咳をする。,7. かれはせきをする。,7. KARE WA SEKI WO SURU.
18,8. HE GOES TO THE DRUGSTORE.,8. ELE VAI À FARMÁCIA.,8. VA A LA FARMACIA.,8. VA IN FARMACIA.,8. IL VA À LA PHARMACIE.,8. ER GEHT ZUR APOTHEKE.,8. 彼は薬局に行く。,8. かれはやっきょくにいく。,8. KARE WA YAKKYOKU NI IKU.
18,9. HE FAINTS.,9. ELE DESMAIA.,9. SE DESMAYA.,9. SVENUTO.,9. IL S’ÉVANOUIE.,9. ER FÄLLT OHNÄCHTIG UM.,9. 彼は気を失う。,9. かれはきをうしなう。,9. KARE WA KI WO USHINA U.
18,10. HE FAINTS.,10. ELE DESMAIA.,10. SE DESMAYA.,10. SVENUTO.,10. IL S’ÉVANOUIE.,10. ER FÄLLT OHNÄCHTIG UM.,10. 彼は気を失う。,10. かれはきをうしなう。,10. KARE WA KI WO USHINA U.
18,11. HE GETS UP.,11. ELE SE LEVANTA.,11. SE LEVANTA.,11. SI ALZA.,11. IL SE LÈVE.,11. ER STEHT AUF.,11. 彼は立ち上がる。,11. かれはたちあがる。,11. KARE WA TACHIAGARU.
18,12. HE WALKS INTO THE DRUGSTORE.,12. ELE ENTRA NA FARMÁCIA.,12. ENTRA EN LA FARMACIA.,12. ENTRA NELLA FARMACIA.,12. IL ENTRE DANS LA PHARMACIE.,12. ER BETRITT DIE APOTHEKE.,12. 彼は薬局に入る。,12. かれはやっきょくにいる。,12. KARE WA YAKKYOKU NI IRU.
18,13. HE BUYS MEDICINE.,13. ELE COMPRA REMÉDIO.,13. COMPRA MEDICINA.,13. COMPRA MEDICINA.,13. IL ACHÈTE DES MÉDICAMENTS.,13. ER KAUFT MEDIKAMENTE.,13. 彼は薬を買う。,13. かれはくすりをかう。,13. KARE WA KUSURI WO KAU.
18,14. HE GOES BACK HOME.,14. ELE VOLTA PARA CASA.,14. VUELVE A CASA.,14. TORNA A CASA.,14. IL RENTRE CHEZ LUI.,14. ER GEHT NACH HAUSE ZURÜCK.,14. 彼は家に戻る。,14. かれはいえにもどる。,14. KARE WA IE NI MODORU.
18,15. HE TAKES MEDICINE.,15. ELE TOMA REMÉDIO.,15. TOMA MEDICINA.,15. PRENDE MEDICINA.,15. IL PREND DES MÉDICAMENTS.,15. ER NIMMT MEDIKAMENTE EIN.,15. 彼は薬を飲む。,15. かれはくすりをのむ。,15. KARE WA KUSURI WO NOMU.
18,16. HE GOES TO BED.,16. ELE VAI PARA A CAMA.,16. SE ACUESTA.,16. VA A LETTO.,16. IL VA SE COUCHER.,16. ER GEHT ZU BETT.,16. 彼は寝る。,16. かれはねる。,16. KARE WA NERU.
19,1. PATRICIA GOES HOME.,1. PATRICIA VAI PARA CASA.,1. PATRICIA VA A CASA.,1. PATRICIA VA A CASA.,1. PATRICIA RENTRE CHEZ ELLE.,1. PATRICIA GEHT NACH HAUSE.,1. パトリシアは家に帰る。,1. パトリシアはいえにかえる。,1. PATORISHIA WA IE NI KAERU.
19,2. SHE GOES UP THE STAIRS.,2. ELA SOBE AS ESCADAS.,2. SUBE LAS ESCALERAS.,2. SALE LE SCALE.,2. ELLE MONTE LES ESCALIERS.,2. SIE GEHT DIE TREPPE HOCH.,2. 彼女は階段を上がる。,2. かのじょはかいだんをのぼる。,2. KANOJO WA KAIDAN WO NOBORU.
19,3. SHE OPENS HER PURSE.,3. ELA ABRE A BOLSA.,3. ABRE SU BOLSO.,3. APRE LA BORSA.,3. ELLE OUVRE SON SAC.,3. SIE ÖFFNET IHRE TASCHE.,3. 彼女はバッグを開ける。,3. かのじょはバッグをあける。,3. KANOJO WA BAGGU WO AKERU.
19,4. SHE TAKES OUT THE KEYS.,4. ELA PEGA AS CHAVES.,4. SACA LAS LLAVES.,4. PRENDE LE CHIAVI.,4. ELLE PREND LES CLÉS.,4. SIE NIMMT DIE SCHLÜSSEL.,4. 彼女は鍵を取り出す。,4. かのじょはかぎをとりだす。,4. KANOJO WA KAGI WO TORIDASU.
19,5. SHE STICKS THE KEY IN THE LOCK.,5. ELA COLOCA A CHAVE NA FECHADURA.,5. METE LA LLAVE EN LA CERRADURA.,5. INFILA LA CHIAVE NELLA SERRATURA.,5. ELLE MET LA CLÉ DANS LA SERRURE.,5. SIE STECKT DEN SCHLÜSSEL INS SCHLOSS.,5. 彼女は鍵を鍵穴に差し込む。,5. かのじょはかぎをかぎあなにさしこむ。,5. KANOJO WA KAGI WO KAGIANA NI SASHIKOMU.
19,6. SHE UNLOCKS THE DOOR.,6. ELA DESTRANCA A PORTA.,6. ABRE LA PUERTA.,6. SBLOCCA LA PORTA.,6. ELLE DÉVERROUILLE LA PORTE.,6. SIE ENTSPERRT DIE TÜR.,6. 彼女はドアを開ける。,6. かのじょはドアをあける。,6. KANOJO WA DOA WO AKERU.
19,7. SHE OPENS THE DOOR.,7. ELA ABRE A PORTA.,7. ABRE LA PUERTA.,7. APRE LA PORTA.,7. ELLE OUVRE LA PORTE.,7. SIE ÖFFNET DIE TÜR.,7. 彼女はドアを開ける。,7. かのじょはドアをあける。,7. KANOJO WA DOA WO AKERU.
19,8. SHE GOES IN.,8. ELA ENTRA.,8. ENTRA.,8. ENTRA.,8. ELLE ENTRE.,8. SIE GEHT HINEIN.,8. 彼女は入る。,8. かのじょははいる。,8. KANOJO WA HAIRU.
19,9. SHE SHUTS THE DOOR.,9. ELA FECHA A PORTA.,9. CIERRA LA PUERTA.,9. CHIUDE LA PORTA.,9. ELLE FERME LA PORTE.,9. SIE SCHLIESST DIE TÜR.,9. 彼女はドアを閉める。,9. かのじょはドアをしめる。,9. KANOJO WA DOA WO SHIMERU.
19,10. SHE LOCKS THE DOOR.,10. ELA TRAVA A PORTA.,10. CIERRA CON LLAVE LA PUERTA.,10. CHIUDE A CHIAVE LA PORTA.,10. ELLE FERME LA PORTE À CLÉ.,10. SIE SCHLIESST DIE TÜR AB.,10. 彼女はドアに鍵をかける。,10. かのじょはドアにかぎをかける。,10. KANOJO WA DOA NI KAGI WO KAKERU.
19,11. SHE TURNS ON THE LAMP.,11. ELA LIGA A LÂMPADA.,11. ENCIENDE LA LÁMPARA.,11. ACCENDE LA LAMPADA.,11. ELLE ALLUME LA LAMPE.,11. SIE SCHALTE DIE LAMPE EIN.,11. 彼女はランプをつける。,11. かのじょはランプをつける。,11. KANOJO WA RANPU WO TSUKERU.
19,12. SHE SITS IN THE RECLINER.,12. ELA SE SENTA NA POLTRONA.,12. SE SIENTA EN EL RECLINER.,12. SI SIEDE SULLA POLTRONA.,12. ELLE S’ASSEOIT DANS LE FAUTEUIL.,12. SIE SETZT SICH IN DEN SESSEL.,12. 彼女はリクライニングチェアに座る。,12. かのじょはリクライニングチェアにすわる。,12. KANOJO WA RIKURAININGU CHEA NI SUWARU.
20,"1. BABATUNDE GETS A VASE, AND A BOX.",1. BABATUNDE PEGA UM VASO E UMA CAIXA.,1. BABATUNDE TOMA UN JARRÓN Y UNA CAJA.,1. BABATUNDE PRENDE UN VASO E UNA SCATOLA.,1. BABATUNDE PREND UN VASE ET UNE BOÎTE.,1. BABATUNDE NIMMT EINE VASE UND EINE SCHACHTEL.,1. ババトゥンデは花瓶と箱を取る。,1. ババトゥンデはかびんとはこをとる。,1. BABATUNDE WA KABIN TO HAKO WO TORU.
20,"2. HE GETS A ROLL OF RIBBON, A PAIR OF SCISSORS, AND GIFT WRAP.","2. ELE PEGA UM ROLO DE FITA, UMA TESOURA E PAPEL DE PRESENTE.","2. TOMA UN ROLLO DE CINTA, UN PAR DE TIJERAS Y PAPEL DE REGALO.","2. PRENDE UN ROTOLINO DI NASTRO, UN PAIO DI FORBICI E CARTA REGALO.","2. IL PREND UN ROULEAU DE RUBAN, UNE PAIRE DE CISEAUX ET DU PAPIER CADEAU.","2. ER NIMMT EIN BAND, EINE SCHERE UND GESCHENKPAPIER.",2. 彼はリボンのロールとハサミとラッピングペーパーを取る。,2. かれはリボンのロールとはさみとラッピングペーパーをとる。,2. KARE WA RIBON NO RŌRU TO HASAMI TO RAPPINGU PĒPĀ WO TORU.
20,3. HE WRAPS THE VASE WITH PAPER.,3. ELE EMBALA O VASO COM PAPEL.,3. ENVUELVE EL JARRÓN CON PAPEL.,3. AVVOLGE IL VASO CON LA CARTA.,3. IL EMBALLE LE VASE AVEC DU PAPIER.,3. ER WICKELT DIE VASE IN PAPIER.,3. 彼は花瓶を紙で包む。,3. かれはかびんをかみでつつむ。,3. KARE WA KABIN WO KAMI DE TSUTSUMU.
20,4. HE PUTS THE VASE IN THE BOX.,4. ELE COLOCA O VASO NA CAIXA.,4. PONE EL JARRÓN EN LA CAJA.,4. METTE IL VASO NELLA SCATOLA.,4. IL MET LE VASE DANS LA BOÎTE.,4. ER LEGT DIE VASE IN DIE SCHACHTEL.,4. 彼は花瓶を箱に入れる。,4. かれはかびんをはこにいれる。,4. KARE WA KABIN WO HAKO NI IRERU.
20,5. HE CLOSES THE BOX.,5. ELE FECHA A CAIXA.,5. CIERRA LA CAJA.,5. CHIUDE LA SCATOLA.,5. IL FERME LA BOÎTE.,5. ER SCHLIESST DIE SCHACHTEL.,5. 彼は箱を閉じる。,5. かれははこをしめる。,5. KARE WA HAKO WO SHIMERU.
20,6. HE PUTS THE BOX ON THE GIFT PAPER.,6. ELE COLOCA A CAIXA SOBRE O PAPEL DE PRESENTE.,6. PONE LA CAJA SOBRE EL PAPEL DE REGALO.,6. METTE LA SCATOLA SULLA CARTA REGALO.,6. IL MET LA BOÎTE SUR LE PAPIER CADEAU.,6. ER LEGT DIE SCHACHTEL AUF DAS GESCHENKPAPIER.,6. 彼は箱をラッピングペーパーの上に置く。,6. かれははこをラッピングペーパーのうえにおく。,6. KARE WA HAKO WO RAPPINGU PĒPĀ NO UE NI OKU.
20,7. HE WRAPS THE BOX WITH THE GIFT WRAP.,7. ELE EMBALA A CAIXA COM O PAPEL DE PRESENTE.,7. ENVUELVE LA CAJA CON EL PAPEL DE REGALO.,7. AVVOLGE LA SCATOLA CON LA CARTA REGALO.,7. IL EMBALLE LA BOÎTE AVEC LE PAPIER CADEAU.,7. ER WICKELT DIE SCHACHTEL IN GESCHENKPAPIER.,7. 彼は箱をラッピングペーパーで包む。,7. かれははこをラッピングペーパーでつつむ。,7. KARE WA HAKO WO RAPPINGU PĒPĀ DE TSUTSUMU.
20,8. HE GETS A PIECE OF TAPE.,8. ELE PEGA UM PEDAÇO DE FITA ADESIVA.,8. TOMA UN TROZO DE CINTA ADHESIVA.,8. PRENDE UN PEZZO DI NASTRO ADESIVO.,8. IL PREND UN MORCEAU DE RUBAN ADHÉSIF.,8. ER NIMMT EIN STÜCK KLEBEBAND.,8. 彼はテープを取る。,8. かれはテープをとる。,8. KARE WA TĒPU WO TORU.
20,9. HE TAKES THE WRAPPING PAPER SHUT.,9. ELE SEGURA O PAPEL DE EMBALAR FECHADO.,9. SUJETA EL PAPEL DE ENVOLTURA.,9. TENE LA CARTA DA REGALO CHIUSA.,9. IL TIENT LE PAPIER D’EMBALLAGE FERME.,9. ER HÄLT DAS GESCHENKPAPIER ZU.,9. 彼はラッピングペーパーを押さえる。,9. かれはラッピングペーパーをおさえる。,9. KARE WA RAPPINGU PĒPĀ WO OSAERU.
20,10. HE GETS THE ROLL OF RIBBON AND THE PAIR OF SCISSORS.,10. ELE PEGA O ROLO DE FITA E A TESOURA.,10. TOMA EL ROLLO DE CINTA Y LAS TIJERAS.,10. PRENDE IL ROTOLINO DI NASTRO E LE FORBICI.,10. IL PREND LE ROULEAU DE RUBAN ET LES CISEAUX.,10. ER NIMMT DAS BAND UND DIE SCHERE.,10. 彼はリボンのロールとハサミを取る。,10. かれはリボンのロールとはさみをとる。,10. KARE WA RIBON NO RŌRU TO HASAMI WO TORU.
20,11. HE CUTS A PIECE OF RIBBON WITH THE PAIR OF SCISSORS.,11. ELE CORTA UM PEDAÇO DE FITA COM A TESOURA.,11. CORTA UN TROZO DE CINTA CON LAS TIJERAS.,11. TAGLIA UN PEZZO DI NASTRO CON LE FORBICI.,11. IL COUPE UN MORCEAU DE RUBAN AVEC LES CISEAUX.,11. ER SCHNEIDET EIN STÜCK BAND MIT DER SCHERE.,11. 彼はハサミでリボンを切る。,11. かれははさみでリボンをきる。,11. KARE WA HASAMI DE RIBON WO KIRU.
20,12. HE WRAPS THE GIFT BOX IN RIBBON.,12. ELE EMBALA A CAIXA COM A FITA.,12. ENVUELVE LA CAJA CON LA CINTA.,12. AVVOLGE LA SCATOLA CON IL NASTRO.,12. IL EMBALLE LA BOÎTE AVEC LE RUBAN.,12. ER WICKELT DIE SCHACHTEL MIT DEM BAND EIN.,12. 彼は箱をリボンで包む。,12. かれははこをリボンでつつむ。,12. KARE WA HAKO WO RIBON DE TSUTSUMU.
20,13. HE TIES A BOW.,13. ELE FAZ UM LAÇO.,13. HACE UN LAZO.,13. FA UN FIocco.,13. IL FAIT UN NOEUD.,13. ER MACHT EINE SCHLEIFE.,13. 彼はリボンで結び目を作る。,13. かれはリボンでむすびめをつくる。,13. KARE WA RIBON DE MUSUBIME WO TSUKURU.
20,14. HE GIVES THE PRESENT TO HIS FRIEND.,14. ELE DÁ O PRESENTE AO AMIGO.,14. DA EL REGALO A SU AMIGO.,14. DA IL REGALO AL SUO AMICO.,14. IL DONNE LE CADEAU À SON AMI.,14. ER GIBT DAS GESCHENK SEINEM FREUND.,14. 彼は友達にプレゼントを渡す。,14. かれはともだちにプレゼントをわたす。,14. KARE WA TOMODACHI NI PUREZENTO WO WATASU.
21,1. SAKI GRABS A BANANA AND SOME BERRIES.,1. SAKI PEGA UMA BANANA E ALGUMAS FRUTAS VERMELHAS.,1. SAKI TOMA UN PLÁTANO Y ALGUNAS BAYAS.,1. SAKI PRENDE UNA BANANA E DELLE BACCHE.,1. SAKI PREND UNE BANANE ET DES BAIES.,1. SAKI NIMMT EINE BANANE UND EINIGE BEEREN.,1. サキはバナナとベリーを取る。,1. サキはバナナとベリーをとる。,1. SAKI WA BANANA TO BERĪ WO TORU.
